,Label
0,1
1,1
2,1
3,0
4,1
5,1
6,1
7,0
8,0
9,1
10,0
11,1
12,0
13,1
14,1
15,0
16,0
17,0
18,1
19,0
20,0
21,1
22,0
23,0
24,1
25,0
26,1
27,1
28,1
29,0
30,0
31,1
32,1
33,0
34,0
35,0
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,0
45,0
46,1
47,0
48,0
49,1
50,1
51,1
52,0
53,0
54,0
55,1
56,0
57,0
58,0
59,1
60,1
61,1
62,1
63,1
64,0
65,1
66,1
67,1
68,0
69,0
70,0
71,1
72,1
73,1
74,1
75,0
76,1
77,0
78,1
79,1
80,1
81,1
82,0
83,0
84,1
85,1
86,0
87,1
88,0
89,1
90,1
91,1
92,0
93,1
94,1
95,0
96,1
97,1
98,0
99,1
100,1
101,1
102,1
103,0
104,0
105,0
106,1
107,0
108,1
109,0
110,1
111,1
112,0
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,0
124,0
125,1
126,1
127,0
128,1
129,1
130,0
131,0
132,1
133,1
134,1
135,1
136,0
137,0
138,1
139,0
140,1
141,1
142,1
143,0
144,0
145,1
146,1
147,1
148,0
149,1
150,1
151,1
152,0
153,0
154,1
155,1
156,0
157,1
158,1
159,0
160,1
161,1
162,1
163,1
164,1
165,1
166,1
167,0
168,1
169,1
170,1
171,0
172,0
173,1
174,1
175,1
176,1
177,0
178,1
179,1
180,0
181,0
182,1
183,0
184,1
185,0
186,1
187,0
188,0
189,1
190,1
191,0
192,1
193,0
194,0
195,1
196,0
197,1
198,1
199,1
200,1
201,0
202,1
203,1
204,0
205,1
206,0
207,0
208,0
209,0
210,1
211,0
212,0
213,1
214,0
215,1
216,0
217,1
218,1
219,1
220,0
221,1
222,0
223,0
224,0
225,1
226,0
227,0
228,0
229,1
230,0
231,0
232,0
233,1
234,0
235,1
236,0
237,0
238,1
239,1
240,1
241,1
242,1
243,1
244,0
245,0
246,1
247,0
248,0
249,1
250,1
251,1
252,1
253,1
254,0
255,1
256,0
257,1
258,0
259,0
260,0
261,1
262,0
263,1
264,1
265,0
266,1
267,1
268,1
269,0
270,1
271,1
272,1
273,0
274,0
275,1
276,0
277,1
278,1
279,1
280,1
281,1
282,1
283,1
284,0
285,1
286,1
287,0
288,1
289,1
290,1
291,1
292,0
293,1
294,0
295,1
296,1
297,1
298,1
299,0
300,1
301,0
302,1
303,0
304,0
305,1
306,1
307,1
308,1
309,1
310,1
311,1
312,0
313,1
314,0
315,0
316,0
317,1
318,1
319,1
320,1
321,1
322,0
323,1
324,0
325,0
326,0
327,1
328,0
329,0
330,1
331,1
332,0
333,1
334,0
335,1
336,1
337,1
338,1
339,1
340,0
341,0
342,1
343,1
344,1
345,1
346,0
347,0
348,0
349,1
350,1
351,0
352,0
353,0
354,0
355,1
356,0
357,1
358,0
359,0
360,1
361,0
362,0
363,1
364,1
365,1
366,1
367,0
368,0
369,1
370,0
371,1
372,0
373,0
374,1
375,0
376,0
377,0
378,0
379,0
380,1
381,0
382,0
383,1
384,0
385,1
386,1
387,0
388,1
389,1
390,1
391,0
392,1
393,1
394,1
395,0
396,0
397,1
398,1
399,1
400,0
401,0
402,0
403,1
404,1
405,1
406,1
407,1
408,0
409,1
410,1
411,1
412,0
413,1
414,1
415,1
416,0
417,1
418,1
419,1
420,0
421,1
422,1
423,1
424,0
425,1
426,1
427,1
428,0
429,1
430,1
431,0
432,1
433,0
434,1
435,1
436,1
437,1
438,1
439,1
440,0
441,1
442,1
443,1
444,1
445,1
446,0
447,0
448,1
449,0
450,0
451,1
452,1
453,1
454,0
455,0
456,0
457,0
458,1
459,1
460,1
461,0
462,0
463,1
464,0
465,1
466,1
467,1
468,1
469,1
470,0
471,0
472,0
473,0
474,1
475,0
476,0
477,1
478,1
479,0
480,0
481,1
482,1
483,1
484,1
485,1
486,1
487,1
488,0
489,1
490,1
491,1
492,0
493,0
494,0
495,1
496,1
497,0
498,1
499,1
500,1
501,1
502,0
503,1
504,1
505,1
506,1
507,1
508,0
509,1
510,1
511,1
512,1
513,1
514,1
515,1
516,1
517,1
518,0
519,0
520,1
521,1
522,1
523,1
524,1
525,0
526,1
527,1
528,0
529,1
530,1
531,0
532,0
533,0
534,0
535,0
536,1
537,1
538,0
539,0
540,1
541,1
542,0
543,1
544,1
545,0
546,1
547,1
548,1
549,0
550,0
551,0
552,0
553,1
554,1
555,0
556,1
557,0
558,1
559,1
560,0
561,1
562,0
563,1
564,0
565,0
566,0
567,0
568,1
569,0
570,0
571,0
572,1
573,0
574,1
575,1
576,1
577,0
578,1
579,0
580,1
581,0
582,1
583,0
584,1
585,0
586,0
587,0
588,0
589,1
590,1
591,0
592,1
593,1
594,0
595,1
596,0
597,1
598,1
599,0
600,0
601,1
602,0
603,0
604,1
605,0
606,1
607,0
608,1
609,1
610,0
611,1
612,0
613,1
614,1
615,1
616,1
617,0
618,1
619,1
620,0
621,0
622,0
623,0
624,0
625,1
626,1
627,0
628,0
629,0
630,1
631,0
632,1
633,0
634,1
635,0
636,1
637,0
638,1
639,0
640,1
641,1
642,1
643,1
644,1
645,1
646,1
647,0
648,1
649,0
650,0
651,0
652,1
653,0
654,1
655,1
656,1
657,0
658,0
659,0
660,1
661,1
662,1
663,0
664,0
665,0
666,0
667,0
668,0
669,1
670,0
671,0
672,1
673,1
674,1
675,1
676,0
677,0
678,0
679,0
680,1
681,0
682,1
683,1
684,1
685,1
686,0
687,0
688,1
689,1
690,0
691,0
692,1
693,1
694,1
695,0
696,0
697,1
698,1
699,1
700,1
701,1
702,1
703,1
704,0
705,1
706,1
707,0
708,1
709,1
710,0
711,1
712,1
713,1
714,1
715,0
716,0
717,1
718,1
719,0
720,1
721,1
722,0
723,1
724,1
725,1
726,0
727,1
728,1
729,0
730,1
731,0
732,0
733,1
734,0
735,0
736,0
737,0
738,1
739,1
740,1
741,1
742,1
743,0
744,0
745,1
746,1
747,0
748,0
749,0
750,0
751,1
752,1
753,0
754,0
755,0
756,0
757,1
758,1
759,0
760,0
761,0
762,1
763,1
764,0
765,0
766,1
767,0
768,0
769,0
770,1
771,1
772,1
773,0
774,1
775,0
776,1
777,1
778,1
779,0
780,1
781,1
782,1
783,1
784,1
785,0
786,1
787,1
788,0
789,0
790,0
791,0
792,0
793,1
794,0
795,1
796,0
797,1
798,0
799,1
800,1
801,1
802,0
803,1
804,1
805,1
806,0
807,0
808,0
809,1
810,0
811,0
812,1
