,label
21804,0
104481,1
108086,1
11791,1
26347,0
66537,0
59209,1
28366,0
111838,1
169171,1
7977,1
36907,0
2464,1
42181,0
33120,0
137043,1
105701,1
134680,1
81707,1
85793,1
80574,0
18258,0
60656,1
4897,1
10330,1
82287,0
57132,1
8699,0
9098,0
75347,0
27727,0
41749,0
112388,1
74482,0
10172,0
5353,1
88658,0
76359,1
14166,0
38089,0
775,1
66284,0
105702,1
91744,1
42951,0
37296,0
7362,0
112503,1
25419,0
57787,1
91454,1
71114,1
22303,0
91800,1
111672,1
50465,1
66145,0
77749,1
13208,0
20844,0
43876,0
12805,0
20468,0
25831,0
55563,1
125283,1
148997,1
17917,0
25566,0
79463,0
746,0
23569,0
113893,1
87871,1
118123,1
17741,0
38325,0
24851,0
7498,0
101591,1
6705,1
33511,0
7324,0
56089,1
47513,1
84726,1
45200,0
94417,1
29277,0
74017,1
65782,1
58922,1
74750,0
102655,1
87796,0
44242,0
28633,0
52465,1
111423,1
58556,1
11184,1
58579,1
54680,1
115627,0
89062,1
120385,1
102612,1
65633,0
11331,0
100400,1
57444,1
77857,0
31929,0
9761,0
29000,0
42013,0
67914,1
2737,1
144095,1
5906,1
115748,0
103817,1
28070,0
128509,1
42147,0
63948,1
23369,0
93133,1
30510,0
46526,1
3890,1
110088,0
37601,0
65802,1
79095,0
69465,0
113282,0
57000,1
69256,0
35103,0
86904,1
14801,0
65189,0
51398,1
3225,0
19234,0
76273,1
11365,0
27130,0
107623,0
90385,1
81611,0
72115,1
28823,0
72186,1
8378,1
138307,1
110630,1
73558,1
86115,1
75375,1
20279,0
2489,1
71686,1
34540,0
77753,1
57546,1
23311,0
73663,0
5852,0
35658,0
9279,0
1676,0
10248,0
131374,1
93798,1
5720,1
2007,0
5005,0
25609,0
7337,1
6493,0
43569,0
21661,0
28390,0
959,0
43208,0
8132,1
28009,0
46786,0
40282,0
11160,1
136147,1
34740,0
24665,0
67479,0
11819,1
171360,1
34128,0
26071,0
172495,1
86932,1
19564,0
23559,0
2283,1
100081,1
35858,0
40275,0
68155,0
11642,1
67607,1
27036,0
80193,1
38825,0
114361,1
38013,0
31121,0
122707,1
90238,1
45417,0
4309,0
69841,1
31723,0
57261,1
8259,1
111846,1
35885,0
42555,0
46372,0
25341,0
29674,0
6788,0
3700,0
21322,0
31927,0
16494,0
91271,1
97037,1
15143,0
3635,1
55452,1
56307,1
11864,0
155529,1
77753,1
81922,0
39738,0
6944,1
8634,1
86331,0
94811,1
72844,0
32514,0
469,1
28968,0
31793,0
5497,0
5733,0
8412,0
78957,0
82310,0
34775,0
6759,0
74938,0
622,1
90381,1
26764,0
18137,0
38214,0
7845,1
86189,1
10485,0
86811,1
27903,0
107,0
91610,1
132030,1
59784,1
26229,0
27740,0
10374,0
81537,1
9381,1
44833,1
21103,0
104735,1
54816,1
11443,1
8539,1
11485,1
41815,0
1642,1
56498,1
49819,1
13926,0
3427,1
2168,0
63682,1
93613,1
56782,1
127874,1
7234,0
78004,0
23888,0
76166,0
68244,1
6621,1
3045,1
45507,0
500,1
74455,0
81743,0
172627,1
41694,0
8340,1
111509,1
10756,0
104477,1
113257,1
32165,0
2326,1
54379,1
4695,1
104273,1
32554,0
818,0
127514,1
73213,0
150771,1
38880,0
74139,0
81068,0
11772,1
46196,0
42303,0
38193,0
12503,0
22179,0
44573,0
122935,1
32959,0
7176,1
71438,1
108069,1
91757,1
35398,0
132030,1
7895,1
73614,0
151427,1
33968,0
70182,0
53292,1
40180,0
37787,0
32157,0
32755,0
27452,0
73495,0
18743,0
75169,1
926,0
17246,0
39682,0
122191,1
7575,1
70949,1
11065,1
33210,0
31574,0
71799,1
26924,0
75752,0
160234,1
47407,0
24761,0
20166,0
151684,1
19637,0
73405,0
25586,0
42743,0
135401,1
82212,1
45929,0
56627,1
68494,0
42525,0
49916,1
122268,1
29376,0
55990,1
98587,1
11603,1
70964,0
105690,1
6145,1
104173,1
40980,0
22010,0
56201,1
34618,0
29732,0
36608,0
68113,0
57149,1
75240,1
71073,0
74654,0
129426,1
102939,1
138058,1
105194,1
6141,1
5203,1
46906,0
45156,0
80700,0
66693,0
83775,0
74715,0
81857,0
86896,1
78929,0
109503,0
68074,1
71213,0
62678,1
123852,1
43827,1
25132,0
6797,0
141697,1
94144,1
66709,1
5531,1
27191,0
42751,0
68414,0
102676,1
13278,0
61955,1
69136,0
26936,0
55077,1
35677,0
45135,0
37169,0
51763,1
12037,0
45381,1
44422,0
2787,1
8096,1
35411,0
34211,0
67006,1
51752,1
34854,0
105978,1
11910,1
74131,1
22018,0
109196,0
114626,0
48116,1
42114,0
80486,1
46602,0
167941,1
7494,0
5153,1
63641,1
7645,1
54353,1
1928,1
84529,0
13335,0
1763,1
44880,0
69489,0
19595,0
73952,1
32664,0
2315,1
89491,1
57279,1
118225,1
83796,0
4318,0
23707,0
108069,1
69088,0
34048,0
48003,1
5810,0
27197,0
122913,1
106708,1
24503,0
31210,0
54582,1
45776,0
119541,1
55158,1
108368,1
563,0
12150,0
142184,1
41604,0
44534,1
8569,1
11422,0
95292,1
78551,0
26311,0
105711,0
3364,1
42996,0
84157,1
27729,0
113995,0
18108,0
86270,1
51922,1
37621,0
90997,1
8125,1
68174,0
82975,1
55711,1
81002,0
86306,0
47971,1
770,1
114164,1
36334,0
77217,1
39135,0
25139,0
67975,1
81058,1
11602,0
5465,1
26916,0
91822,1
110363,1
27325,0
82779,1
5694,0
121699,1
8251,1
4398,1
1544,1
113510,1
8760,1
30545,0
24057,0
29381,0
101321,1
11916,1
29281,0
38986,0
31391,0
11356,1
63121,1
68731,0
72428,0
7372,1
75466,0
172322,1
73551,0
172006,1
5274,1
25720,0
91822,1
173059,1
62222,1
26660,0
792,1
123521,1
3916,1
24273,0
6868,0
67993,0
77388,0
39779,0
82403,1
92746,1
113399,1
52819,1
52126,1
75223,0
24009,0
145118,1
85751,1
69789,0
7545,1
77616,0
168215,1
7591,1
75349,0
7213,1
33701,0
66281,1
109632,1
116829,1
11448,1
25139,0
87443,1
116442,1
97320,1
104098,1
78324,0
13005,0
3242,1
33369,0
9850,0
93792,1
42431,0
7087,1
71136,0
38680,0
51152,1
75213,0
55947,1
77475,0
141952,1
38920,0
7627,1
74331,1
69687,0
97020,1
26506,0
73798,0
64215,1
5372,1
2650,1
42872,0
44336,0
18,0
4663,0
2628,1
30297,0
61549,1
32426,0
57404,1
16912,0
7989,1
650,1
44367,1
36717,0
71400,0
106929,1
7730,1
15311,0
111028,1
93360,1
122410,1
53062,1
83783,1
9551,1
109212,0
105773,1
30275,0
4007,1
2806,1
70241,0
70729,0
31049,0
83961,1
47194,1
